Prompt,Style,Score,Readability,Simplicity,Actionability,Comfort,Explanation
What does 'low disk space' mean?,short + step-by-step,16.400000000000006,54.0,0,30,5,"'Low disk space' means that the storage capacity of your computer or device is nearly full, leaving little room for additional data or files. You can free up space by deleting unnecessary files or moving them to an external storage device.

👣 **Step-by-Step Instructions**:
1. Understand 'low disk space' → It means your computer → has little storage left.
2. Imagine your computer → like a filing cabinet → running out of space.
3. Clear space → by deleting files → you don't need anymore.
4. Move files → to an external hard drive → for more space.
5. Install a cleaner app → to remove junk files → and free up space.
6. Regularly check storage → in your computer settings → to avoid running low.

📊 This should help in most situations. (How sure I am: 82%)"
What does 'low disk space' mean?,simplify + step-by-step,0,55.0,0,30,0,"'Low disk space' is like having a small garden shed that's getting too full. Your computer, like the shed, has a certain amount of space to store things like photos, documents, and programs. When you see 'low disk space', it means your computer is running out of room to store new things. You might need to clean out some old stuff you don't use anymore, or get a bigger 'shed' (more storage space).

👣 **Step-by-Step Instructions**:
1. Understand the message → 'Low disk space' → Your computer screen
   🧠 Why: This means your computer is running out of storage.

2. Open 'My Computer' → Desktop → Double-click 'My Computer' icon

3. Check storage → 'Local Disk (C:)' → Right-click and select 'Properties'
   🧠 Why: This shows how much storage you have left.

4. Clean up files → 'Disk Cleanup' button → In 'Properties' window
   🧠 Why: This helps free up some storage.

5. Delete unnecessary files → 'OK' button → In 'Disk Cleanup' window
   🧠 Why: This removes files you don't need.

6. Confirm deletion → 'Delete Files' → In confirmation window
   ⚠️ WARNING: Only delete files you're sure you don't need.

📊 This should help in most situations. (How sure I am: 85%)"
What does 'low disk space' mean?,short + simplify + step-by-step,20.900000000000006,66.0,0,30,5,"Your computer is a bit like a garden shed, it's getting too full to store any more tools or pots. You can make more room by getting rid of things you don't need anymore or moving some stuff to another shed.

👣 **Step-by-Step Instructions**:
1. Understand 'low disk space' → It means your computer → is running out of storage.
2. Imagine your computer → like a closet → getting too full.
3. Delete unneeded files → on your computer → to free up space.
4. Empty your trash bin → on your desktop → looks like a trash can.
5. Restart your computer → using the power button → usually top right corner.
6. Check storage space → on your computer → should be more free now.

📊 This should help in most situations. (How sure I am: 86%)"
Why isn't my phone charging?,short,34.4,68.0,43.99999999999999,20,0,"The charger, charging cable, or phone's charging port could be damaged, or the power source may not be working. Try using a different charger and cable, or plug into a different power source. If the problem persists, the phone's charging port may need repair.

📊 This should help in most situations. (How sure I am: 77%)"
Why isn't my phone charging?,simplify,3.400000000000002,72.0,0,0,0,"Think of your phone like a thirsty plant. Just like a plant needs water to grow, your phone needs power to work. If your phone isn't charging, it could be because it's not getting the ""water"" it needs. This could be due to a few reasons. Maybe the charger (the watering can) is broken, or the charging port on your phone (the plant's roots) might be damaged or blocked. It's also possible that there's an issue with the battery inside your phone (the plant's ability to absorb water). Let's figure out what's going wrong so we can get your ""plant"" healthy and growing again!

📊 This may help, but ask someone if unsure. (How sure I am: 62%)"
Why isn't my phone charging?,step-by-step,9.8,60.0,0,0,0,"1. Check the charger → in your hand → looks like a cord
Why: Charger might be faulty or not connected properly.

2. Plug the charger → into the wall socket → fits snugly
Why: To ensure the charger is receiving power.

3. Connect the charger → to the phone → fits in a slot
Why: This is how the phone receives power.

4. Look at the screen → top right corner → battery icon
Why: To see if the charging symbol appears.

⚠️ WARNING: If the phone still isn't charging, it might be a hardware issue. Contact your phone provider.

📊 This should help in most situations. (How sure I am: 77%)"
Why isn't my phone charging?,short + simplify,25.0,61.0,21.999999999999996,20,0,"Your phone not charging could be like a plant not getting water. The problem could be the watering can (the charger), the place where you pour the water (the charging port), or the plant itself (the battery). Try using a different watering can or a different way to water it. If it still doesn't work, you might need to ask a gardener (a professional) for help.

📊 This should help in most situations. (How sure I am: 72%)"
Why isn't my phone charging?,short + step-by-step,32.300000000000004,66.0,0,70,0,"Your phone might not be charging due to a faulty charger, damaged charging port, or a problem with the battery. Try using a different charger and if it still doesn't work, consider getting your phone checked by a professional.

👣 **Step-by-Step Instructions**:
1. Check the charger → near you → looks like a cord
2. Plug charger into phone → bottom of phone → small slot
3. Plug charger into wall → wall socket → two holes
4. Check phone screen → front of phone → should show battery icon
5. Wait a few minutes → phone screen → battery icon should fill up
6. If not charging, try another charger → repeat steps 1-3

📊 This should help in most situations. (How sure I am: 83%)"
Why isn't my phone charging?,simplify + step-by-step,0,78.0,0,100,0,"I'm sorry to hear that you're having trouble charging your phone. Let's try to figure this out together.

First, the issue might be with the charging cable. It's like a hose; if it has any cuts or breaks, the water (or in this case, power) won't flow properly. Try using a different cable if you have one.

Second, the problem could be with the charging port on your phone. It's like a gate that lets the power in. If it's blocked or damaged, the power can't get through. You might want to gently clean it with a dry, soft toothbrush or cloth.

Lastly, the wall plug or power source could be the issue. Try plugging your phone into a different outlet or use a different plug if you have one.

If none of these work, it might be best to take your phone to a professional for a check-up.

👣 **Step-by-Step Instructions**:
1. Check your cable → Near your phone → Looks like a cord
2. Check cable connection → Phone's charging port → Small hole at bottom
3. Check power outlet → Wall → Looks like a socket
4. Check charger plug → End of the cable → Fits into socket
5. Try another cable → Any spare → Similar to the first
6. Try another outlet → Different wall → Similar to the first outlet

📊 This may help, but ask someone if unsure. (How sure I am: 70%)"
Why isn't my phone charging?,short + simplify + step-by-step,5.9999999999999964,67.0,0,50,0,"Your phone not charging could be like a plant not getting water. It could be the watering can (the charger), the pot's hole (the charging port), or the plant itself (the battery). Try a different watering can or change the pot, and if it's still not working, it might be time to ask a gardener (a professional).

👣 **Step-by-Step Instructions**:
1. Check the power source → Wall socket → Light on
2. Plug in charger → Wall socket → Charger fits snug
3. Connect charger → Phone's charging port → Click sound
4. Check phone screen → Top right → Battery icon
5. Wait a moment → Phone screen → Charging symbol appears
⚠️ WARNING: Don't force charger into phone, it can damage.

📊 This should help in most situations. (How sure I am: 78%)"
How do I install Zoom?,short,39.400000000000006,56.0,55.00000000000001,0,5,"You can install Zoom by visiting the official Zoom website, clicking on ""Resources"" at the top of the page, and then clicking on ""Download Zoom Client"". Follow the prompts to complete the installation.

📊 This should help in most situations. (How sure I am: 80%)"
How do I install Zoom?,simplify,0,84.0,0,0,10,"Sure, let me help you with that. Installing Zoom is like planting a seed in your garden. Here's how we do it:

1. First, we need to get the seed. In this case, we go to the Zoom website (www.zoom.us) and find the ""Download"" section at the bottom of the page. Click on it.

2. Now, we've got our seed. It's time to plant it. So, click on the file you just downloaded and it will start the installation process.

3. A few pop-up windows might appear, asking for your permission to make changes to your computer. This is like asking if it's okay to dig a hole for the seed. Click ""Yes"" or ""Allow"".

4. Once you've done that, the seed (or Zoom) will start growing on its own. The installation process will continue without needing you to do anything else.

5. When it's finished, you'll have a new Zoom icon on your desktop or in your applications folder. It's like seeing the first sprout of your plant. Click on it, and you're ready to start using Zoom!

Remember, just like gardening, it might take a few tries to get comfortable with it. But don't worry, you'll get the hang of it in no time.

📊 This should help in most situations. (How sure I am: 77%)"
How do I install Zoom?,step-by-step,36.7,75.0,14.000000000000002,10,5,"1. Open your Internet browser → Desktop → Globe icon
2. Type 'Zoom download' → Top bar → Looks like a rectangle
3. Press 'Enter' → Keyboard → Large key, middle row
4. Click 'Download Zoom' → Middle of screen → Blue link
5. Click 'Save File' → Pop-up window → Blue button
6. Double-click 'ZoomInstaller' → Downloads folder → Looks like a box

Why: This installs Zoom so you can join video calls.

📊 I'm highly confident this will help. (How sure I am: 90%)"
How do I install Zoom?,short + simplify,46.0,100,19.999999999999996,0,0,"First, visit the Zoom website. Look for a button that says ""Sign Up, It's Free"" and click on it to make an account. Then, find ""Resources"" at the top right of the screen and click on it. Choose ""Download Zoom Client"". Once it's downloaded, open it up. It will guide you, like a garden path, on how to install the software. Just follow the steps it gives you.

📊 This should help in most situations. (How sure I am: 86%)"
How do I install Zoom?,short + step-by-step,27.000000000000004,69.0,0,30,0,"Go to the Zoom website, click on ""Sign Up, It's Free"" to create an account, then click on ""Resources"" at the top right of the page and select ""Download Zoom Client"". Once the download is complete, open the installer to install the application.

👣 **Step-by-Step Instructions**:
1. Open internet browser → desktop → blue 'e' icon
2. Type 'Zoom download' → top bar → white rectangle
3. Click 'Download Zoom' → center of screen → blue link
4. Click 'Zoom Client for Meetings' → center → blue text
5. Click 'Download' → middle of screen → blue button
6. Open the downloaded file → bottom left → file name 'Zoominstaller'

📊 I'm highly confident this will help. (How sure I am: 90%)"
How do I install Zoom?,simplify + step-by-step,0,86.0,0,50,30,"Sure, I can help with that. Installing Zoom is like planting a seed in your garden. Here's what you need to do:

1. First, you need to go to the Zoom website. You can do this by typing ""Zoom download"" into Google and clicking on the first link that comes up.

2. Once you're on the Zoom website, look for a button that says ""Download"". Click on it. This is like picking up a seed for planting.

3. A file will start downloading. Once it's finished, you'll need to open it. You can usually do this by clicking on the file at the bottom of your screen. This is like digging a hole for your seed.

4. When you open the file, it will start installing Zoom automatically. You might need to click ""Yes"" or ""Next"" a few times. This is like planting the seed in the hole.

5. Once it's finished installing, Zoom should open up automatically, and you can start using it. This is like watering the seed and watching it grow.

Remember, just like in gardening, don't worry if you make a mistake. You can always try again.

👣 **Step-by-Step Instructions**:
1. Open App Store → Home screen → Blue icon with 'A'
2. Tap 'Search' → Bottom right → Magnifying glass icon
3. Type 'Zoom' → Top → Keyboard
4. Tap 'Zoom Cloud Meetings' → List of apps → Blue icon
5. Tap 'Install' → Right side → Blue button
6. Open Zoom → Home screen → Blue icon with camera

📊 This should help in most situations. (How sure I am: 80%)"
How do I install Zoom?,short + simplify + step-by-step,31.700000000000003,77.0,0,30,0,"To get Zoom, go to zoom.us/download like you're going to the garden to pick a flower. Click on the ""Download"" button like you're plucking a flower. Once it's done, open it up and follow the easy steps like you're planting a seed.

👣 **Step-by-Step Instructions**:
1. Open your internet browser → desktop → globe icon
2. Type 'Zoom download' → top bar → blinking cursor
3. Click 'Download' → middle of page → blue link
4. Open the file → bottom left → file name 'ZoomInstaller'
5. Follow on-screen instructions → center → text in boxes
6. Click 'Finish' → bottom right → blue button

📊 I'm highly confident this will help. (How sure I am: 90%)"
What is two-factor authentication?,short,25.0,31.0,42.00000000000001,0,0,"Two-factor authentication is a security measure that requires two types of credentials for logging into an account: something you know (like a password) and something you have (like a mobile device to receive a verification code). This adds an extra layer of security to your accounts.

📊 This should help in most situations. (How sure I am: 80%)"
What is two-factor authentication?,simplify,29.2,67.0,0,15,0,"Two-factor authentication is like having a second lock on your garden gate. Normally, you'd just use a key to open it, right? But what if you added another lock that required a different key? That's what two-factor authentication does for your online accounts. First, you enter your password (that's the first key). Then, a second step is needed, like entering a code sent to your phone (that's the second key). This makes it harder for unwanted visitors to sneak in, just like a second lock makes your garden more secure.

📊 This should help in most situations. (How sure I am: 82%)"
What is two-factor authentication?,step-by-step,7.100000000000002,52.0,0,0,7,"1. Understand Two-Factor Authentication → Your mind → It's extra security.
   Why: It protects your account by requiring two proofs of identity.

2. Start the process → On your device → Find 'Settings'.
   Why: This is where you can change security settings.

3. Find 'Security' → In 'Settings' → Looks like a shield.
   Why: This is where you can manage your account's protection.

4. Tap 'Two-Factor Authentication' → Under 'Security' → Usually a toggle switch.
   Why: This activates the extra layer of security.

5. Follow instructions → On screen → They will guide you.
   Why: The device will tell you how to complete the setup.

6. Confirm setup → On screen → Look for a 'Done' or 'Confirm' button.
   Why: This ensures your changes are saved.

⚠️ WARNING: Never share your two-factor authentication codes with anyone.

📊 This should help in most situations. (How sure I am: 82%)"
What is two-factor authentication?,short + simplify,41.4,75.0,38.0,0,0,"Two-factor authentication is like having two locks on your door. It's a way to prove it's really you when you're using a computer or phone. You do this by showing two things: something you know (like a password) and something you have (like a special code sent to your phone).

📊 This should help in most situations. (How sure I am: 80%)"
What is two-factor authentication?,short + step-by-step,0,23.0,0,60,0,"Two-factor authentication is a security process where a user provides two different authentication factors to verify themselves. This process is designed to provide an extra layer of security, requiring not only a password and username but also something that only the user has on them, such as a piece of information only they should know or a physical device like a smartphone.

👣 **Step-by-Step Instructions**:
1. Understand: Two-factor authentication → It's a security process.
2. Why: It adds an extra layer of protection to your accounts.
3. First Step: Enter your password → Login screen → After typing username.
4. Second Step: Verify your identity → Could be text, email, or app → Usually a code.
5. Enter the code → Back on login screen → In the 'Enter Code' field.
6. Secure Login: Access your account → After successful verification → You're now safer.

📊 This should help in most situations. (How sure I am: 75%)"
What is two-factor authentication?,simplify + step-by-step,1.8000000000000043,65.0,0,75,0,"Two-factor authentication is like having two locks on your garden gate instead of just one. The first lock might be the key you use, like your password. The second lock could be something you have, like your phone, where you might get a special code to enter. This way, even if someone gets your key, they still can't get in without the special code from your phone. It's an extra layer of security to help keep your information safe.

👣 **Step-by-Step Instructions**:
1. Understand: Two-factor authentication → Online security → Extra layer of protection
2. Step 1: Enter password → Login page → After typing username
3. Step 2: Receive code → Phone or email → Sent by service
4. Step 3: Enter code → Login page → After entering password
🧠 Why: It's like a second lock on your account. 
⚠️ WARNING: Never share your code with others.

📊 This may help, but ask someone if unsure. (How sure I am: 70%)"
What is two-factor authentication?,short + simplify + step-by-step,16.300000000000004,58.0,0,30,0,"Two-factor authentication is like having a second lock on your garden gate. It's like needing both a key (your password) and a special code (sent to your phone) to open it. This makes it harder for unwanted visitors to get in.

👣 **Step-by-Step Instructions**:
1. Understand the term → Your mind → Two-factor authentication is extra security.
2. Remember your password → When logging in → This is the first factor.
3. Receive a unique code → Via text or email → This is the second factor.
4. Enter this code → On the login screen → Only you have this code.
5. Access your account → After entering code → Two-factor authentication is complete.
6. ⚠️ WARNING: Never share your code → It's personal → Keeps your account safe.

📊 This should help in most situations. (How sure I am: 82%)"
How do I print from my phone?,short,34.900000000000006,61.0,35.0,0,0,"Your phone may not be connected to a printer. Connect your phone to a printer via Wi-Fi or Bluetooth, then select the document or image you want to print and choose the print option. If your printer isn't compatible with mobile printing, you may need to transfer the file to a computer first.

📊 This should help in most situations. (How sure I am: 80%)"
How do I print from my phone?,simplify,0,77.0,0,0,0,"Sure, I'd be happy to help you print from your phone! It's a bit like planting a seed in your garden and watching it grow into a beautiful flower. Here's how you do it:

1. First, make sure your printer and phone are connected to the same Wi-Fi network. It's like making sure your seed is in the same garden as you are.

2. Next, open the document or photo you want to print on your phone. This is like picking the perfect seed to plant.

3. Then, look for a symbol that looks like a printer or says 'Print'. It's usually in the 'Share' or 'Options' menu. This is like finding the right spot in the soil to plant your seed.

4. Once you've found it, select it and choose your printer from the list that appears. This is like making sure you're planting your seed in the right garden bed.

5. Finally, hit 'Print' and your document or photo should start printing. This is like watering your seed and waiting for it to grow.

And there you go! That's how you print from your phone. It might take a little practice, like gardening, but once you've done it a few times, it'll become second nature.

📊 This may help, but ask someone if unsure. (How sure I am: 66%)"
How do I print from my phone?,step-by-step,37.0,85.0,9.999999999999998,0,0,"1. Unlock your phone → anywhere on the screen → swipe up
2. Tap the PHOTOS app → main screen → looks like a flower
3. Select a photo → scroll and tap → photo enlarges
4. Tap the SHARE button → bottom left → square with arrow
5. Tap the PRINT option → scroll down → printer icon
6. Tap the PRINT button → top right → blue button

Why: This sends your photo to the printer.

📊 I'm highly confident this will help. (How sure I am: 90%)"
How do I print from my phone?,short + simplify,43.8,84.0,34.0,0,0,"To print from your phone, you need a printer that can print from mobiles. Your phone and printer must be connected to the same Wi-Fi, like two plants sharing the same sunlight. Then, use a simple app like Google Cloud Print or Apple AirPrint to send what you want to print to the printer.

📊 This should help in most situations. (How sure I am: 80%)"
How do I print from my phone?,short + step-by-step,20.1,63.0,0,30,0,"To print from your phone, you need a printer that supports mobile printing through services like Google Cloud Print or Apple AirPrint. Once connected, select the document or photo on your phone, tap the share button or settings, and select 'Print'.

👣 **Step-by-Step Instructions**:
1. Open the document → On your phone → Look for the file
2. Tap the SHARE button → Bottom center → Looks like a box with an arrow
3. Select PRINT → In the options list → Looks like a printer
4. Choose your printer → In the new window → Name of your printer
5. Select the number of copies → Below printer name → Plus or minus signs
6. Tap PRINT → Top right corner → Blue button

📊 I'm highly confident this will help. (How sure I am: 88%)"
How do I print from my phone?,simplify + step-by-step,0,85.0,0,30,15,"Sure, I can help with that. It's like planting a seed and watching it grow into a flower. 

1. First, make sure your printer is turned on and connected to Wi-Fi, just like a seed needs water and sunlight to grow.

2. Next, on your phone, find the picture or document you want to print. It's like picking the right seed to plant.

3. Tap the 'Share' or '...' button, which might look like three dots or a box with an arrow. This is like preparing the soil for planting.

4. Look for an option that says 'Print'. Tap on it. This is like planting your seed.

5. A preview will appear. Check it's correct. You can also select the number of copies. This is like checking your seed is in the right place and deciding how many plants you want.

6. Finally, tap 'Print'. This is like watering your seed. In a few moments, your document will print, like your seed growing into a beautiful flower. 

Remember, just like gardening, it can take a few tries to get it right. So don't worry if you need to do it a couple of times.

👣 **Step-by-Step Instructions**:
1. Open document → On your phone → Looks like text on a page
2. Tap 'Share' button → Top right → Looks like a box with an arrow
3. Select 'Print' → In the list → Looks like a printer
4. Choose your printer → In the new window → Has the printer's name
5. Select 'Print' → Bottom right → Looks like a printer
6. Wait for print → At the printer → Paper comes out

📊 This should help in most situations. (How sure I am: 80%)"
How do I print from my phone?,short + simplify + step-by-step,25.0,70.0,0,30,0,"To print something from your phone, it's like planting a seed. Make sure your phone and printer are in the same ""garden"" (the Wi-Fi network). Then, use a special tool (an app like Google Cloud Print or Apple AirPrint) to ""plant"" your document into the printer.

👣 **Step-by-Step Instructions**:
1. Open the document → Phone screen → Looks like paper
2. Tap the SHARE button → Top right → Arrow pointing up
3. Select PRINT → Scroll down → Printer icon
4. Choose your printer → List of devices → Your printer's name
5. Tap the PRINT button → Bottom right → Looks like printer
6. Wait for the document to print → Printer → Paper coming out

📊 This should help in most situations. (How sure I am: 86%)"
What does it mean when my screen goes black?,short,37.8,63.0,62.0,20,0,"This could be due to a hardware issue, software glitch, or power problem. Try restarting your device, updating your software, or checking your device's power supply.

📊 This should help in most situations. (How sure I am: 77%)"
What does it mean when my screen goes black?,simplify,31.400000000000002,68.0,15.000000000000002,0,0,"When your screen goes black, it's like your computer or device has suddenly decided to take a nap without warning. It can happen due to a variety of reasons. Maybe it's tired from running too many tasks at once, or perhaps it's not feeling well due to a virus. Just like you need to figure out why a plant isn't blooming, you'll need to find out what's causing this issue to fix it.

📊 This should help in most situations. (How sure I am: 75%)"
What does it mean when my screen goes black?,step-by-step,16.1,57.0,0,40,0,"1. Check if device is on → Look for light → Usually on the side
   Why: If there's light, your device is on.

2. Press the POWER button → On the side → Small, usually round
   Why: This can wake up your device.

3. Wait for a moment → Look at the screen → Wait for changes
   Why: It may take a few seconds to respond.

4. If still black, press POWER again → On the side → Same button
   Why: This will restart your device.

5. Wait for a moment → Look at the screen → Wait for changes
   Why: It may take a few seconds to start up.

6. If still black, seek help → Call family or support → Use another device
   ⚠️ WARNING: Don't try to fix it yourself if you're unsure.

📊 I'm highly confident this will help. (How sure I am: 88%)"
What does it mean when my screen goes black?,short + simplify,32.5,58.0,16.000000000000004,20,5,"A black screen on your computer can mean there's an issue with your screen, the part that shows pictures (graphics card), or the programs running on your computer. It's like when a plant doesn't get enough water or sunlight, it won't grow properly. You can try to fix it by turning your computer off and on again, making sure your screen is plugged in correctly, or updating the part that controls pictures.

📊 This should help in most situations. (How sure I am: 77%)"
What does it mean when my screen goes black?,short + step-by-step,11.600000000000001,51.0,0,60,0,"A black screen can indicate a problem with your display, graphics card, or it could be a software issue causing your device to crash or freeze. Try restarting your device, updating your graphics drivers, or checking your display connections.

👣 **Step-by-Step Instructions**:
1. Check if device is on → Look for any lights → Usually on sides
2. Press power button → Usually on top or side → Button alone
3. Look at screen → Directly in front → Should light up
4. If not, plug in charger → Usually bottom of device → Fits charger cord
5. Check screen again → Directly in front → Should show charging symbol
6. If still black, contact support → Phone or online → Use another device

📊 This should help in most situations. (How sure I am: 83%)"
What does it mean when my screen goes black?,simplify + step-by-step,4.400000000000006,74.0,0,50,12,"When your screen goes black, it's like when a flower temporarily closes its petals at night. It could mean your computer is taking a short nap, or ""sleeping"", to save energy. You can usually wake it up by moving your mouse or pressing a key on your keyboard. If it doesn't wake up, it might be a more serious issue, like a power outage or a problem with the computer itself. But don't worry, there are always ways to help it bloom again.

👣 **Step-by-Step Instructions**:
1. Check the device → In your hand → Is it on?
2. Press the power button → Side of device → Small, round button
3. Look at the screen → Front of device → Large, flat surface
4. Wait for a moment → No location → No visual cue
5. See if the screen lights up → Front of device → Large, flat surface
6. If not, charge your device → Plug into wall → Looks like a small box

⚠️ WARNING: Don't press the power button too hard.

📊 This should help in most situations. (How sure I am: 81%)"
What does it mean when my screen goes black?,short + simplify + step-by-step,20.800000000000004,62.0,0,40,0,"It's like your computer is a garden that's gone dark at night. You might just need to turn on the lights (restart your computer), plant some new flowers (update your software), or fix the garden path (check your display settings).

👣 **Step-by-Step Instructions**:
1. Check if device is on → Look at screen → No light or images
2. Press power button → Side of device → Small, round button
3. Wait for screen to light up → Look at screen → Brightness or images appear
4. If screen stays black, plug in charger → Bottom of device → Small, rectangular port
5. Wait for charging symbol → Middle of screen → Battery icon
6. If still black, seek help → Contact family or store → Explain situation

📊 This should help in most situations. (How sure I am: 83%)"
How do I change my password?,short,38.5,59.0,48.0,0,5,"The process varies depending on the platform. Generally, you can change your password by going to settings or account information, then selecting ""change password"" or a similar option. You'll need to enter your current password and then your new password.

📊 This should help in most situations. (How sure I am: 80%)"
How do I change my password?,simplify,0,67.0,0,0,0,"Sure, let's walk through changing your password together. It's a bit like replanting a flower in your garden. First, you need to dig up the old plant (your current password). You do this by going to your account settings, where there's usually an option called 'password' or 'security'. Once you've found that, there should be an option to 'change password'. 

Next, you'll need to plant your new flower (create your new password). The website will ask you to enter your current password first, then you'll have the chance to put in your new one. Remember, it's important to make your new password strong and healthy, like a well-nourished plant. Use a mix of letters, numbers, and symbols to make it hard for any pesky bugs (hackers) to get to it. 

Once you've entered your new password, you'll usually need to confirm it by entering it again. Then, just like watering your new plant, you need to save your new password by clicking 'confirm' or 'save'. 

And there you go, you've replanted your flower with a new, healthier one! Just remember to keep it safe and check on it every now and then, changing it if you think it might be at risk.

📊 This may help, but ask someone if unsure. (How sure I am: 69%)"
